n;varmodule;varname;pregunta;statement;values
1;csa;csa01;¿Conoce el concepto de Ciencia Abierta?;;"1= No lo conozco;2= Lo conozco, pero no participo en prácticas de Ciencia Abierta;3= Practico la Ciencia Abierta;4= Promuevo activamente la Ciencia Abierta"
2;csa;csa02_1;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Acceso abierto;"1= No; 2= Si"
3;csa;csa02_2;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Preregistro de hipótesis;"1= No; 2= Si"
4;csa;csa02_3;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Apertura de datos;"1= No; 2= Si"
5;csa;csa02_4;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Investigación reproducible;"1= No; 2= Si"
6;csa;csa02_5;¿Ha utilizado alguno de estos elementos de Ciencia Abierta?;Herramientas como Software o repositorios en línea;"1= No; 2= Si"
7;csa;csa03_1;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Preregistro de hipótesis (o declarar estudio explícitamente como exploratorio);"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
8;csa;csa03_2;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Hacer que datos, materiales y protocolos de análisis estén disponibles en línea en el momento de la publicación;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
9;csa;csa03_3;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Reportar estudios, análisis y resultados completamente;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
10;csa;csa03_4;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Planificación a priori de un tamaño de muestra suficiente, preferiblemente sobre la base de análisis de potencia;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
11;csa;csa03_5;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Participar en la replicación y el examen de hallazgos publicados, en la medida que las circunstancias lo permitan;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
12;csa;csa03_6;¿Cómo evalúa las medidas para mejorar los estándares científicos propagados por el movimiento de Ciencia Abierta con respecto a las Ciencias Sociales?;Hacer que los resultados de las réplicas fallidas de los hallazgos de otras personas (o propios) estén disponibles mediante el uso de recursos en línea;"1= Nada necesario; 2= Ligeramente necesario; 3= Moderadamente necesario; 4= Bastante necesario; 5= Muy necesario"
13;csa;csa04_1;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Preregistro de hipótesis (o declarar estudio explícitamente como exploratorio);"1= No; 2= Si"
14;csa;csa04_2;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Hacer que datos, materiales y protocolos de análisis estén disponibles en línea en el momento de la publicación;"1= No; 2= Si"
15;csa;csa04_3;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Reportar estudios, análisis y resultados completamente;"1= No; 2= Si"
16;csa;csa04_4;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Planificación a priori de un tamaño de muestra suficiente, preferiblemente sobre la base de análisis de potencia;"1= No; 2= Si"
17;csa;csa04_5;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Participar en la replicación y el examen de hallazgos publicados, en la medida que las circunstancias lo permitan;"1= No; 2= Si"
18;csa;csa04_6;¿Planea considerar uno o más de los procedimientos de Ciencia Abierta mencionados con anterioridad al realizar sus propios estudios en un futuro próximo?;Hacer que los resultados de las réplicas fallidas de los hallazgos de otras personas (o propios) estén disponibles mediante el uso de recursos en línea;"1= No; 2= Si"
19;transp;transp01_01;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Compartir códigos u otros materiales de investigación en un repositorio en línea de acceso público;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
20;transp;transp01_02;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Documentar métodos, análisis y resultados de forma selectiva a favor de las hipótesis;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
21;transp;transp01_03;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Plagiar publicaciones (completas o en parte);"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
22;transp;transp01_04;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Creación post-hoc de hipótesis y explicaciones de datos;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
23;transp;transp01_05;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Reportar un hallazgo inesperado o un resultado de un análisis exploratorio como predicho desde el principio;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
24;transp;transp01_06;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Dejar de recopilar datos antes de lo planeado porque se encontró el resultado que se estaba buscando;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
25;transp;transp01_07;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;No informar estudios o variables que no alcanzaron significación estadística o algún otro umbral estadístico deseado;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
26;transp;transp01_08;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Presentar resultados de manera engañosa;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
27;transp;transp01_09;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Manipular o falsificar datos;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
28;transp;transp01_10;Según su opinión ¿qué tan frecuentes son las siguientes prácticas dentro de la comunidad de las Ciencias Sociales?;Fabricar datos;"1= Nada; 2= Un poco; 3= Moderadamente; 4= Bastante; 5= Mucho"
29;transp;transp02_01;¿Ha estado involucrado en alguna de estas prácticas?;Compartir códigos u otros materiales de investigación en un repositorio en línea de acceso público;"1= No; 2= Si"
30;transp;transp02_02;¿Ha estado involucrado en alguna de estas prácticas?;Documentar métodos, análisis y resultados de forma selectiva a favor de las hipótesis;"1= No; 2= Si"
31;transp;transp02_03;¿Ha estado involucrado en alguna de estas prácticas?;Plagiar publicaciones (completas o en parte);"1= No; 2= Si"
32;transp;transp02_04;¿Ha estado involucrado en alguna de estas prácticas?;Creación post-hoc de hipótesis y explicaciones de datos;"1= No; 2= Si"
33;transp;transp02_05;¿Ha estado involucrado en alguna de estas prácticas?;Reportar un hallazgo inesperado o un resultado de un análisis exploratorio como predicho desde el principio;"1= No; 2= Si"
34;transp;transp02_06;¿Ha estado involucrado en alguna de estas prácticas?;Dejar de recopilar datos antes de lo planeado porque se encontró el resultado que se estaba buscando;"1= No; 2= Si"
35;transp;transp02_07;¿Ha estado involucrado en alguna de estas prácticas?;No informar estudios o variables que no alcanzaron significación estadística o algún otro umbral estadístico deseado;"1= No; 2= Si"
36;transp;transp02_08;¿Ha estado involucrado en alguna de estas prácticas?;Presentar resultados de manera engañosa;"1= No; 2= Si"
37;transp;transp02_09;¿Ha estado involucrado en alguna de estas prácticas?;Manipular o falsificar datos;"1= No; 2= Si"
38;transp;transp02_10;¿Ha estado involucrado en alguna de estas prácticas?;Fabricar datos;"1= No; 2= Si"
39;data;data01;¿Qué tan familiarizado está con los principios FAIR (ubicable, accesible, interoperable y reutilizable en español?;;"1= No los conozco;2= Los conozco, pero no los practico;3= Practico los principios FAIR;4= Promuevo activamente los principios FAIR"
40;data;data02;¿Ha dejado sus datos de investigación primarios en un repositorio en línea para que otros/as investigadores los puedan usar?;;"1= No; 2= Si"
41;data;data03;¿Ha utilizado datos de investigación secundarios de un repositorio en línea que fueron recopilados por otros/as investigadores?;;"1= No; 2= Si"
42;data;data04_01;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Los/as investigadores no pueden seguir los principios FAIR debido a la falta de capacitación y apoyo adecuados;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
43;data;data04_02;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Dejar los datos de investigación disponibles en línea para su uso gratis es muy importante;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
44;data;data04_03;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Comparto los datos de mi investigación para reducir la duplicación del esfuerzo de diferentes investigadores que intentan recopilar los mismos conjuntos de datos;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
45;data;data04_04;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Comparto los datos de mi investigación según lo ordena la política de mi institución o alguna revista;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
46;data;data04_05;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Los datos de investigación debieran estar disponibles en línea para su uso no comercial, siempre que acrediten autoría;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
47;data;data04_06;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Los datos de investigación debieran estar disponibles en línea para su uso incluso con fines comerciales, siempre que acrediten autoría;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
48;data;data04_07;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Estaría dispuesto a compartir mis datos de investigación, pero no he tenido la oportunidad de hacerlo;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
49;data;data04_08;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Es muy difícil preparar mis datos y documentación para compartirlos con otros;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
50;data;data04_09;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;Dediqué una gran cantidad de tiempo y esfuerzo para recopilar mis datos y no quiero regalarlos;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
51;data;data04_10;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;No comparto mis datos de investigación porque es probable que se pierda una oportunidad de publicación;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
52;data;data04_11;¿Qué tan de acuerdo estás con las siguientes afirmaciones?;No comparto mis datos de investigación porque serían mal utilizados por otros;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
53;data;data05_01;¿Qué podría motivarlo a hacer que sus datos de investigación estén disponibles?;Transparencia de los resultados del estudio;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
54;data;data05_02;¿Qué podría motivarlo a hacer que sus datos de investigación estén disponibles?;Alta disponibilidad de conjuntos de datos comparables para análisis integrales;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
55;data;data05_03;¿Qué podría motivarlo a hacer que sus datos de investigación estén disponibles?;Redes con otros científicos para estudios interdisciplinarios;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
56;data;data05_04;¿Qué podría motivarlo a hacer que sus datos de investigación estén disponibles?;Como los datos se generaron con dinero público, deben hacerse públicos;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
57;data;data05_05;¿Qué podría motivarlo a hacer que sus datos de investigación estén disponibles?;Mi visibilidad en la comunidad aumenta;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
58;repro;repro01;¿Qué tan familiarizado está con el término reproducibilidad cuando se refiere a la publicación de contenido en Ciencias Sociales?;;"1= nada; 5= mucho"
59;repro;repro02;¿Hasta qué punto siente que la reproducibilidad está recibiendo suficiente atención en la comunidad de investigadores de Ciencias Sociales?;;"1= nada; 5= mucho"
60;repro;repro03;"¿Con cuál de las siguientes afirmaciones sobre una ""crisis de reproducibilidad"" dentro de la comunidad de investigadores de Ciencias Sociales está de acuerdo?";;"1= No hay crisis de reproducibilidad; 2= Hay una ligera crisis de reproducibilidad; 3= Hay una importante crisis de reproducibilidad; 4= No sé"
61;repro;repro04;En su opinión, ¿cuánto trabajo publicado en Ciencias Sociales es reproducible?;;"1= 10%; 2=20%...9=90%; 10=100%"
62;repro;repro05;¿Ha intentado y fallado en reproducir uno de sus propios resultados?;;"1= No; 2= Si"
63;repro;repro06;¿Ha intentado y fallado en reproducir los resultados de alguien más?;;"1= No; 2= Si"
64;repro;repro07;¿Alguna vez ha tratado de publicar un intento de reproducción?;;"1= No; 2= Si"
65;repro;repro07_01;¿Qué factores contribuyen a la investigación irreproducible?;Fraude;"1= nada; 5= mucho"
66;repro;repro07_02;¿Qué factores contribuyen a la investigación irreproducible?;Presión por publicar para avanzar en la carrera;"1= nada; 5= mucho"
67;repro;repro07_03;¿Qué factores contribuyen a la investigación irreproducible?;Falta de capacitación, tutoría, experiencia técnica o supervisión;"1= nada; 5= mucho"
68;repro;repro07_04;¿Qué factores contribuyen a la investigación irreproducible?;Ineficiente análisis estadístico;"1= nada; 5= mucho"
69;repro;repro07_05;¿Qué factores contribuyen a la investigación irreproducible?;Propiedad de datos;"1= nada; 5= mucho"
70;repro;repro07_06;¿Qué factores contribuyen a la investigación irreproducible?;Diseño experimental deficiente;"1= nada; 5= mucho"
71;repro;repro07_07;¿Qué factores contribuyen a la investigación irreproducible?;Documentación de protocolos o códigos de análisis no disponibles publicamente;"1= nada; 5= mucho"
72;repro;repro07_08;¿Qué factores contribuyen a la investigación irreproducible?;Insuficiente revisión de pares;"1= nada; 5= mucho"
73;access;access01;¿Estás familiarizado con la publicación en Acceso Abierto (Open access)?;;"1= No la conozco;2= La conozco, pero no he publicado en Acceso Abierto;3= He publicado en Acceso Abierto; 4= Intento siempre publicar en Acceso Abierto"
74;access;access02;¿Percibe beneficios del Acceso Abierto en su campo de investigación?;;"1= No; 2= Si"
75;access;access03;¿Ha publicado en revistas o repositorios de Acceso Abierto?;;"1= No; 2= Si"
76;access;access04_01;¿Qué tan familiarizado está con los siguientes tipos de Acceso abierto?;Dorado;"1= nada; 5= mucho"
77;access;access04_02;¿Qué tan familiarizado está con los siguientes tipos de Acceso abierto?;Híbrido;"1= nada; 5= mucho"
78;access;access04_03;¿Qué tan familiarizado está con los siguientes tipos de Acceso abierto?;Bronce;"1= nada; 5= mucho"
79;access;access04_04;¿Qué tan familiarizado está con los siguientes tipos de Acceso abierto?;Verde;"1= nada; 5= mucho"
80;access;access05_01;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;Los arreglos institucionales de las agencias de investigación fomentan la apertura y la transparencia en las Ciencias Sociales;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
81;access;access05_02;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;En general, creo que la investigación en Ciencias Sociales es accesible a todos los niveles de un público comprometido científicamente;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
82;access;access05_03;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;Las revistas de Acceso Abierto son de menor calidad que las revistas de suscripción;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
83;access;access05_04;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;Es aceptable que mi trabajo se reutilice con fines no comerciales;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
84;access;access05_05;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;Es aceptable que otros usen mi trabajo para obtener ganancias comerciales;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
85;access;access05_06;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;Es aceptable que otros traduzcan mi trabajo;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
86;access;access05_07;¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?;Es aceptable que otros adapten mi trabajo;"1= Muy en desacuerdo;2= En desacuerdo;3= De acuerdo;4= Muy de acuerdo"
87;info;info01;Edad;;
88;info;info02;Género;;
89;info;info03;Años trabajando en investigación;;
90;info;info04;Disciplina;;
91;info;info05;Afiliación institucional;;
